Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
12.83057608,-0.03353027344,2.008223877,9.547745361
12.84060708,-0.04475692749,1.99026123,9.569300537
12.85063708,-0.04924758911,1.971101074,9.541757812
12.86066808,-0.04805007935,1.969604187,9.535171509
12.87069908,-0.04146377563,1.954934692,9.52095108
12.88072908,-0.03996688843,1.947749634,9.542506256
12.89076008,-0.03263214111,1.923799438,9.523196411
12.90079108,-0.01916015625,1.935774536,9.50807785
12.91082108,-0.002844085693,1.93293045,9.520352325
12.92085208,0.008681945801,1.931732941,9.502838745
12.93088208,0.03278182983,1.92948761,9.502988434
12.94091308,0.02634521484,1.944306793,9.485325165
12.95094408,0.04924758911,1.949096832,9.473200378
12.96097408,0.06496490479,1.95283905,9.491462402
12.97100508,0.06960525513,1.961820374,9.488318939
12.98103608,0.08382568359,1.974244537,9.469308472
12.99106608,0.08592132568,1.998643799,9.484127655
13.00109708,0.09175918579,2.00433197,9.505383453
13.01112808,0.09086105347,2.008074188,9.506281586
13.02115808,0.1055305481,2.01256485,9.483678589
13.03118908,0.1029858398,2.036964111,9.513017578
13.04122008,0.1119671631,2.049687653,9.522298279
13.05125008,0.1091230774,2.058668976,9.530531158
13.06128108,0.1272354126,2.05821991,9.521549835
13.07131208,0.1133143616,2.059866486,9.520651703
13.08134208,0.1131646729,2.058369598,9.537566528
13.09137308,0.1005908203,2.068548431,9.526040497
13.10140408,0.1095721436,2.064955902,9.53502182
13.11143408,0.1100212097,2.072590027,9.560319214
13.12146508,0.09580078125,2.077529755,9.553433533
13.13149608,0.09505233765,2.077529755,9.555080109
13.14152608,0.08951385498,2.064806213,9.564360809
13.15155708,0.08412506104,2.064207458,9.55493042
13.16158808,0.08517288208,2.065554657,9.536967773
13.17161808,0.07364685059,2.056273956,9.554780731
13.18164908,0.06376739502,2.048190765,9.539961548
13.19168008,0.06122268677,2.043999481,9.525741119
13.20171008,0.05074447632,2.040107574,9.523046722
13.21174108,0.03233276367,2.011067963,9.513167267
13.22177208,0.03487747192,2.014211426,9.520202637
13.23180208,0.04415817261,2.01256485,9.492061157
13.24183308,0.02649490356,2.002086639,9.5034375
13.25186408,0.03532653809,1.975442047,9.489815826
13.26189408,0.0288899231,1.971999207,9.484576721
13.27192508,0.01556762695,1.977088623,9.492061157
13.28195508,0.02230361938,1.958826599,9.479487305
13.29198608,0.008382568359,1.968706055,9.484127655
13.30201708,-0.002544708252,1.963766327,9.470955048
13.31204708,0.009580078125,1.969005432,9.486073608
13.32207808,0.01212478638,1.958976288,9.473799133
13.33210908,0.01541793823,1.980082397,9.498647461
13.34213908,0.01631607056,1.974394226,9.476792908
13.35217008,0.01796264648,1.982776794,9.475894775
13.36220108,0.01182540894,2.001787262,9.501790924
13.37223108,0.01017883301,1.999392242,9.521549835
13.38226208,0.01541793823,2.010918274,9.511520691
13.39229308,0.02365081787,2.024539948,9.524842987
13.40232308,0.01017883301,2.016905823,9.523944855
13.41235408,0.01526824951,2.035317535,9.533225555
13.4223845,0.02260299683,2.036964111,9.527387695
13.4324145,0.02395019531,2.041604462,9.533524933
13.4424455,0.03053649902,2.052232361,9.547296295
13.4524765,0.03338058472,2.052082672,9.536967773
13.4625065,0.03517684937,2.049687653,9.548344116
13.4725375,0.05119354248,2.050885162,9.545949097
13.4825685,0.04131408691,2.055974579,9.542655945
13.4925985,0.04610412598,2.060165863,9.535620575
13.5026295,0.06750961304,2.048041077,9.532776489
13.5126605,0.06930587769,2.057770844,9.522298279
13.5226905,0.07379653931,2.039957886,9.533973999
13.5327215,0.06990463257,2.036515045,9.543703766
13.5427525,0.07903564453,2.033670959,9.516909485
13.5527825,0.08247848511,2.023641815,9.522447968
13.5628135,0.09131011963,2.005080414,9.522897034
13.5728445,0.08921447754,2.008074188,9.508227539
13.5828745,0.0896635437,2.000140686,9.50104248
13.5929055,0.08741821289,1.99265625,9.489666138
13.6029365,0.0896635437,1.999392242,9.469009094
13.6129665,0.07394622803,1.991159363,9.476942596
13.6229975,0.07649093628,1.971999207,9.472451935
13.6330285,0.07499404907,1.966460724,9.460925903
13.6430585,0.06346801758,1.982627106,9.454189911
13.6530895,0.05658233643,1.97858551,9.477241974
13.6631205,0.06586303711,1.964664459,9.460476837
13.6731505,0.06451583862,1.983824615,9.485474854
13.6831815,0.05822891235,1.99849411,9.48233139
13.6932125,0.04819976807,1.992207184,9.503736877
13.7032425,0.04490661621,2.013462982,9.493408356
13.7132735,0.0477507019,2.024539948,9.521250458
13.7233035,0.033230896,2.023342438,9.522747345
13.7333345,0.05179229736,2.052831116,9.530980225
13.7433655,0.04281097412,2.049088898,9.529782715
13.7533965,0.04326004028,2.056872711,9.538165283
13.7634265,0.04071533203,2.065854034,9.558672638
13.7734575,0.02395019531,2.062261505,9.565258942
13.7834885,0.04505630493,2.073039093,9.580377502
13.7935185,0.03083587646,2.085912323,9.570198669
13.8035495,0.02484832764,2.087858276,9.573042755
13.8135805,0.03412902832,2.076931,9.587263184
13.8236105,0.03891906738,2.081271973,9.601034546
13.8336415,0.03113525391,2.087109833,9.611961823
13.8436715,0.02993774414,2.075284424,9.589508514
13.8537025,0.02933898926,2.065854034,9.590107269
13.8637335,0.02619552612,2.065854034,9.587412872
13.8737635,0.04101470947,2.042352905,9.58187439
13.8837945,0.0470022583,2.045795746,9.567653961
13.8938255,0.04086502075,2.04534668,9.570947113
13.9038555,0.03742218018,2.031425629,9.581125946
13.9138865,0.05673202515,2.020648041,9.563013611
13.9239175,0.04610412598,2.006577301,9.562564545
13.9339475,0.04146377563,2.001038818,9.541907501
13.9439785,0.06077362061,1.991159363,9.526190186
13.9540095,0.060025177,2.004032593,9.533225555
13.9640395,0.043409729,1.996248779,9.529483337
13.9740705,0.05628295898,1.986968079,9.528884583
13.9841015,0.05224136353,1.977986755,9.533075867
13.9941315,0.0462538147,1.99505127,9.517807617
14.0041625,0.04580474854,1.995650024,9.510323181
14.0141935,0.0426612854,1.990111542,9.510323181
14.0242235,0.04819976807,1.989363098,9.516610107
14.0342545,0.05777984619,1.998344421,9.49640213
14.0442855,0.04849914551,2.001787262,9.473948822
14.0543155,0.05688171387,2.014061737,9.496701508
14.0643465,0.06062393188,2.026336212,9.513766022
14.0743775,0.06242019653,2.025288391,9.508676605
14.0844075,0.05179229736,2.030976563,9.514514465
14.0944385,0.06765930176,2.033371582,9.51870575
14.1044695,0.06571334839,2.045196991,9.497300262
14.1144995,0.0505947876,2.049088898,9.519005127
14.1245305,0.04026626587,2.040406952,9.500294037
14.1345615,0.06182144165,2.042053528,9.510323181
14.1445915,0.04206253052,2.054477692,9.486073608
14.1546225,0.04026626587,2.040257263,9.487869873
14.1646535,0.0419128418,2.04998703,9.505533142
14.1746835,0.04999603271,2.050136719,9.509125671
14.1847145,0.04071533203,2.040856018,9.5034375
14.1947455,0.05328918457,2.057770844,9.519454193
14.2047755,0.04790039063,2.042652283,9.521100769
14.2148065,0.05029541016,2.038910065,9.519454193
14.2248375,0.04790039063,2.033521271,9.508826294
14.2348675,0.05358856201,2.030377808,9.522447968
14.2448985,0.05628295898,2.032623138,9.516909485
14.2549295,0.06481521606,2.023791504,9.505233765
14.2649595,0.07065307617,2.020049286,9.515262909
14.2749905,0.06750961304,2.033072205,9.524693298
14.2850215,0.076640625,2.02663559,9.509574738
14.2950515,0.06735992432,2.032174072,9.509724426
14.3050825,0.06930587769,2.03127594,9.511820068
14.3151135,0.06945556641,2.041604462,9.539961548
14.3251435,0.05658233643,2.039359131,9.526040497
14.3351745,0.06466552734,2.045646057,9.546547852
14.3452055,0.06526428223,2.056423645,9.544751587
14.3552355,0.04640350342,2.056423645,9.537716217
14.3652665,0.0592767334,2.054926758,9.554631042
14.3752975,0.04909790039,2.053429871,9.538314972
14.3853275,0.05673202515,2.04759201,9.55957077
14.3953585,0.05328918457,2.04414917,9.534123688
14.4053895,0.04131408691,2.048041077,9.526639252
14.4154195,0.04745132446,2.066153412,9.546098785
14.42545071,0.04655319214,2.048939209,9.538913727
14.43548171,0.02514770508,2.047142944,9.548793182
14.44551171,0.0303868103,2.045646057,9.535620575
14.45554271,0.04311035156,2.064207458,9.536069641
14.46557371,0.03338058472,2.044598236,9.522597656
14.47560371,0.04610412598,2.051783295,9.546098785
14.48563471,0.03667373657,2.040856018,9.519603882
14.49566571,0.02814147949,2.020198975,9.51047287
14.50569571,0.02290237427,2.013163605,9.483379211
14.51572671,0.03891906738,2.002236328,9.489965515
14.52575771,0.04430786133,2.015858002,9.532177734
14.53578771,0.02978805542,1.982627106,9.499695282
14.54581871,0.03203338623,1.999841309,9.479936371
14.55584971,0.03382965088,1.999392242,9.50463501
14.56587971,0.02260299683,1.995799713,9.531578979
14.57591071,0.008382568359,2.004182281,9.525591431
14.58594171,0.02484832764,2.029779053,9.511071625
14.59597171,0.0209564209,2.002236328,9.499395905
14.60600271,0.01392105103,2.002835083,9.525292053
14.61603371,0.02784210205,2.012714539,9.531578979
14.62606371,0.03517684937,2.038610687,9.535770264
14.63609471,0.01916015625,2.005080414,9.513466644
14.64612571,0.0217048645,2.036515045,9.513167267
14.65615571,0.03772155762,2.033970337,9.516759796
14.66618671,0.02230361938,2.033670959,9.569899292
14.67621771,0.04161346436,2.045196991,9.516610107
14.68624771,0.03667373657,2.051932983,9.514813843
14.69627871,0.06391708374,2.039658508,9.55493042
14.70630971,0.06780899048,2.05582489,9.541608124
14.71633971,0.06840774536,2.067201233,9.53038147
14.72637071,0.08113128662,2.059567108,9.517358551
14.73640171,0.08487350464,2.075883179,9.53038147
14.74643271,0.0940045166,2.070344696,9.533375244
14.75646271,0.09789642334,2.058668976,9.525441742
14.76649371,0.09175918579,2.050286407,9.502539368
14.77652371,0.1080752563,2.061513062,9.52095108
14.78655471,0.09669891357,2.050735474,9.51047287
14.79658571,0.09669891357,2.055675201,9.512867889
14.80661671,0.09999206543,2.060016174,9.499844971
14.81664671,0.0940045166,2.056573334,9.506281586
14.82667771,0.09250762939,2.040406952,9.508826294
14.83670871,0.0940045166,2.052980804,9.495953064
14.84673871,0.0802331543,2.052531738,9.506730652
14.85676971,0.06511459351,2.03591629,9.51511322
14.86680071,0.05688171387,2.060165863,9.521400146
14.87683071,0.06511459351,2.02888092,9.510023804
14.88686171,0.05867797852,2.061213684,9.526040497
14.89689271,0.04251159668,2.00088913,9.488318939
14.90692271,0.04909790039,2.065704346,9.54085968
14.91695371,0.04460723877,2.019001465,9.516759796
14.92698471,0.03682342529,2.046993256,9.530531158
14.93701471,0.03427871704,2.027683411,9.528136139
